Title,Authors,Venue,Year,Library,I1,I2,I3,I4,I5,I6,E1,E2,E3,E4,Included,Ground truth,Reason,Publication type,Publication venue,Publication date,Primary study DOI,Primary study Scopus EID,Keywords,Abstract
A model driven approach to Web-based traffic simulation,D. Ã‡etinkaya,2016 Symposium on Theory of Modeling and Simulation (TMS-DEVS),2016,IEEE,0,0,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,,,,2-s2.0-85051097874,,"©2016 Society for Modeling & Simulation International (SCS).As the world population increases the number of vehicles in the traffic increases as well, and so the traffic becomes more complex. Problems in the urban traffic such as traffic congestion, car accidents, parking difficulties, etc. have a large impact on people's lives as well as the environment. Therefore, researchers, policy makers, decision takers and planners use expert tools to find the best solutions for traffic and transportation problems. Traffic modeling and simulation has been used for analyzing, designing, planning and managing urban traffic for many years. Various techniques have been proposed and many tools have been developed by researchers to assist the modeling and simulation activities in the traffic domain for more than half a century. However, improving the existing methods and developing new tools for traffic simulation are gaining importance due to the emerging technologies. Web-based modeling and simulation has been popular in the last decade, and has a great promise in terms of collaborative and distributed simulations. Model driven approaches are employed in the simulation field for a long time and have provided rapid development solutions. In this paper, a model driven Web-based traffic simulation framework is proposed and a prototype implementation is presented."
A model driven engineering methodology for embedded system designs - HIPAO2,"Doering, Dionisio","Industrial Informatics (INDIN), 2014 12th IEEE International Conference on",2014,IEEE,1,1,1,1,1,1,0,0,0,0,YES,Include,,cp,"Proceedings - 2014 12th IEEE International Conference on Industrial Informatics, INDIN 2014",2014-11-03,10.1109/INDIN.2014.6945614,2-s2.0-84914170137,,© 2014 IEEE.The evolution of recent embedded systems has made their design very complex since the number of functionalities implemented in them is large and the platforms that are used to run these applications may include several heterogeneous and high-performance processing units. Model Driven Engineering has been advocated as a possible solution to help the system designers to deal with these highly complex systems developments. This paper presents the HIPAO2 methodology. The proposed methodology uses the Model Driven Engineering concepts to go from requirement to Platform Independent Model and Platform Models using object and aspect oriented modeling. It also includes a Model-Driven Design Space exploration framework to perform hardware/software partitioning and generate Platform Specific Models. Code is generated using model-to-text transformations. HIPAO2 focuses on the development of systems of system and provides mechanisms for reuse of previously developed subsys-tems. The methodology is applied to the development of an image processing system deployed in an Unmanned Autonomous Vehicle.
A model driven engineering process of platform neutral agents for ambient intelligence devices,"Ayala, Inmaculada;Amor, Mercedes;Fuentes, Lidia",Autonomous Agents and Multi-Agent Systems,2014,WOS,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,ar,Autonomous Agents and Multi-Agent Systems,2014-03-01,10.1007/s10458-013-9223-3,2-s2.0-84892436059,Agent oriented software engineering | Ambient intelligence | Code generation | Mobile phones | Model driven engineering | Software agents,"Ambient intelligence (AmI) systems are now considered a promising approach to assist people in their daily life. AmI proposes the development of context aware systems equipped with devices that can recognize your context and act accordingly. Agents provide an effective way to develop such systems since agents are reactive, proactive and exhibit an intelligent and autonomous behavior. However, current agent approaches do not adequately fulfill the requirements posed by AmI systems. From a modeling point of view, the aim should be to help in the design by providing adequate tools that assist in the development of important properties of AmI systems, such as context-awareness; and from an implementation point of view, agent technologies must be adapted to the diversity of AmI devices and communication technologies. As a solution to these issues we propose a Model driven engineering process, which supports the automatic generation of agent-based AmI systems. The source metamodel is PIM4Agents, a general purpose agent metamodel that we have adapted to support the explicit modeling of context aware systems, and the target metamodel is Malaca, an aspect-oriented agent architecture. Aspect-orientation makes Malaca platform-neutral for FIPA compliant agent platforms, simplifying the model driven process. The solution generates MalacaTiny agents, an implementation of Malaca that is able to run in AmI devices. We have evaluated the convenience of applying a model driven approach by measuring the degree of automation of our process and we have evaluated MalacaTiny for mobile phones by assessing different parameters, related to the scarcity of resources in AmI systems. All the results obtained are satisfactory. © 2013 The Author(s)."
A Model Driven Intelligent Orchestration Approach to Service Automation in Large Distributed Infrastructures,"Yang, Xi;Lehman, Tom;Kettimuthu, Raj;Winkler, Linda;Jung, Eun Sung",AI-Science'18,2018,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"Proceedings of the 1st International Workshop on Autonomous Infrastructure for Science, AI-Science 2018 - In conjunction with HPDC",2018-06-11,10.1145/3217197.3217207,2-s2.0-85050077785,Distributed Infrastructure | Intelligent Orchestration | Modeling | Service Automation,"© 2018 Association for ComputingToday’s scientific computing applications and workflows operate on heterogeneous and vastly distributed infrastructures. Traditional human-in-the-loop service engineering approach met its insurmountable challenge in dealing with these very complex and diverse networked systems, including conventional and software defined networks, compute, storage, clouds and instruments. Orchestration is the key to integrate and coordinate the networked multi-services and automate end-to-end workflows. In this work, we present a model driven intelligent orchestration approach to this end-to-end automation, which is built upon a semantic modeling solution that supports the full stack of service integration, orchestration, abstraction, and intent and policy representation. We also present the design of a real-world orchestrator called StackV that is able to accommodate highly complex application scenarios such as Software Defined ScienceDMZ (SD-SDMZ) and Hybrid Cloud Inter-Networking (HCIN) by implementing this approach."
A Model driven software platform for Network Management Applications,"Prabhu, S.","Autonomic and Autonomous Systems, 2006. ICAS '06. 2006 International Conference on",2006,IEEE,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"2006 International Conference on Autonomic and Autonomous Systems, ICAS'06",2006-12-01,10.1109/ICAS.2006.3,2-s2.0-36448971994,,"NMS/EMS applications are designed to perform management tasks such as fault, configuration, performance, accounting and security on the various network elements. Typically network information such as physical, logical inventory, alarms and the like are persisted on the management station's database. The management station also routinely accesses the devices for faults and configurations. Due to the diverse nature of the network, applications need to understand the different management protocols and associated device intricacies to interact with the device. Similarly applications are exposed to the underlying data model and database access mechanisms. This makes the applications hard to evolve and cumbersome to maintain as any changes in the underlying mechanisms warrants a change in the application. Thus there is a need for a uniform model and a component based on it for device as well as database access, which abstracts the underlying details so that applications can focus on providing valuable services. The objective of this paper is to highlight the need for a uniform model and propose a metadata driven approach for device and database access components. © 2006 IEEE."
A Model Predictive-based Approach for Longitudinal Control in Autonomous Driving with Lateral Interruptions,"Liu, Kai;Gong, Jianwei;Kurt, Arda;Chen, Huiyan;Ozguner, Umit",2017 28TH IEEE INTELLIGENT VEHICLES SYMPOSIUM (IV 2017),2017,WOS,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"IEEE Intelligent Vehicles Symposium, Proceedings",2017-07-28,10.1109/IVS.2017.7995745,2-s2.0-85028040918,Autonomous driving | Model predictive control | Strategic car-following gap model | Virtual lead vehicle,"© 2017 IEEE.The longitudinal control of an autonomous vehicle usually suffers from lateral interruptions, such as the cutting in/out of the lead vehicle, deteriorating its performance and even endangering driving safety. To address this problem, we present a model predictive-based approach for longitudinal control in autonomous driving by taking the lateral interruptions into account. First, a virtual lead vehicle scheme is introduced to predict the future behavior of the actual lead vehicle. By following the virtual lead vehicle rather than the actual lead vehicle, the control of the host vehicle is simplified to keep a proper following gap problem. Then, a strategic car-following gap (CFG) model, generated from highway naturalistic driving data, is employed to describe the safety hazard and the probability of cut-ins by other vehicles. A model predictive controller, incorporating the strategic CFG model as well as the acceleration and jerk limitations in the objective function, is designed for the longitudinal control of the host vehicle. Solving the optimal control problem can not only smooth the oscillation and overshoots caused by the lateral interruptions but also reduce the probability of cut-ins from the adjacent lanes. The proposed approach is simulated and validated through some predefined test scenarios in CarSim software."
A model transformation process to realize controllers of ship autopilot systems by the specialized MDA's features with UML/SysML,"Ngo, Van Hien;Soriano, Thierry","Mechatronics (MECATRONICS) , 2012 9th France-Japan & 7th Europe-Asia Congress on and Research and Education in Mechatronics (REM), 2012 13th Int'l Workshop on",2012,IEEE,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"2012 9th France-Japan and 7th Europe-Asia Congress on Mechatronics, MECATRONICS 2012 / 13th International Workshop on Research and Education in Mechatronics, REM 2012",2012-12-01,10.1109/MECATRONICS.2012.6450983,2-s2.0-84874477988,Hybrid automata | marine vehicle control | MDA | ship autopilot system | UML,"This paper shows out an executable object-oriented process which is based on the Model-Driven Architecture (MDA) to effectively realize ship autopilot systems' controllers as an integrated mechatronic system. It brings out step-by-step main activities to cover completely the requirement analysis, design and deployment phases of these systems In this process, we adapt the ship dynamic model-to-be used and MDA's features such as the Computation Independent Model (CIM) with use-cases and hybrid automata, the Platform Independent Model (PIM) carried out by using the Real-Time Unified Modeling Language (RT UML) or System Modeling Language (SysML), and its Platform Specific Model (PSM) implemented by functional blocks to perform entirely the development lifecycle of ship autopilot system controller. The model transformation rules are also brought out and applied to convert the identified PIM into PSM for implementing quickly this control system with different industrial frameworks. Then, its deployment model had been tested on a model ship with the predetermined course and control performance. This process also allows the determined design elements to be customizable and reusable in new control applications for different types of ships. © 2012 IEEE."
A Model-Based Approach for Reconciliation of Polychronous Execution Traces,"Garcés, Kelly;Deantoni, Julien;Mallet, Frédéric","Software Engineering and Advanced Applications (SEAA), 2011 37th EUROMICRO Conference on",2011,IEEE,1,1,1,1,1,1,0,0,0,0,YES,Include,,cp,"Proceedings - 37th EUROMICRO Conference on Software Engineering and Advanced Applications, SEAA 2011",2011-12-12,10.1109/SEAA.2011.47,2-s2.0-82955237787,Debugging | Logical time | Model-Driven Engineering | Traces | Verification,"Embedded systems are very difficult to design and debug because of the limited access to the device itself. Therefore, debugging usually requires to instrument the code so as to produce execution traces that are then monitored from a base station. Such an intrusive method has a direct impact on performances. In case of multiple interacting embedded targets the problem is even more severe and is not limited to computations but also spreads to communications. To reduce the communication overhead, we propose an approach in which unsynchronized traces from several targets are reconciled a posteriori. Since each target has its own time base without a built-in clock synchronization protocol, our approach requires a multi-clock reconciliation specification. This paper describes our model-based proposal developed during the ANR project RT-Simex. The different steps of the reconciliation are illustrated on a simple case-study used in the project, a terrestrial robot controlled in position. © 2011 IEEE."
A model-based approach to software deployment in robotics,"Hochgeschwender, Nico;Gherardi, Luca;Shakhirmardanov, Azamat;Kraetzschmar, Gerhard K.;Brugali, Davide;Bruyninckx, Herman","Intelligent Robots and Systems (IROS), 2013 IEEE/RSJ International Conference on",2013,IEEE,1,1,1,1,1,1,0,0,0,0,YES,Include,,cp,IEEE International Conference on Intelligent Robots and Systems,2013-12-01,10.1109/IROS.2013.6696915,2-s2.0-84893740439,,Deploying a complex robot software architecture on real robot systems and getting it to run reliably is a challenging task. We argue that software deployment decisions should be separated as much as possible from the core development of software functionalities. This will make the developed software more independent of a particular hardware architecture (and thus more reusable) and allow it to be deployed more flexibly on a wider variety of robot platforms. This paper presents a domain-specific language (DSL) which supports this idea and demonstrates how the DSL is used in a model-driven engineering-based development process. A practical example of applying the DSL to the development of an application for the KUKA youBot platform is given. © 2013 IEEE.
A model-based approach to the segmentation of nasal cavity and paranasal sinus boundaries,"Last, Carsten;Winkelbach, Simon;Wahl, Friedrich M.;Eichhorn, Klaus W.G.;Bootz, Friedrich",Proceedings of the 32nd DAGM conference on Pattern recognition,2010,ACM,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2010-11-22,10.1007/978-3-642-15986-2_34,2-s2.0-78349261964,,"We present a model-driven approach to the segmentation of nasal cavity and paranasal sinus boundaries. Based on computed tomography data of a patients head, our approach aims to extract the border that separates the structures of interest from the rest of the head. This three-dimensional region information is useful in many clinical applications, e.g. diagnosis, surgical simulation, surgical planning and robot assisted surgery. The desired boundary can be made up of bone, mucosa or air what makes the segmentation process very difficult and brings traditional segmentation approaches, like e.g. region growing, to their limits. Motivated by the work of Tsai et al. [1] and Leventon et al. [2], we therefore show how a parametric level-set model can be generated from hand-segmented nasal cavity and paranasal sinus data that gives us the ability to transform the complex segmentation problem into a finite-dimensional one. On this basis, we propose a processing chain for the automated segmentation of the endonasal structures that incorporates the model information and operates without any user interaction. Promising results are obtained by evaluating our approach on two-dimensional data slices of 50 patients with very diverse paranasal sinuses. © 2010 Springer-Verlag."
A model-based design space exploration for embedded image processing in industrial applications,"Lerm, Rafael;Doering, Dionisio;Rech, Rodrigo H.A.;Pereira, Carlos Eduardo;Rettberg, Achim","Industrial Informatics (INDIN), 2014 12th IEEE International Conference on",2014,IEEE,1,1,1,1,1,1,0,0,0,0,YES,Include,,cp,"Proceedings - 2014 12th IEEE International Conference on Industrial Informatics, INDIN 2014",2014-11-03,10.1109/INDIN.2014.6945552,2-s2.0-84914141478,,"© 2014 IEEE.The design and evolution of today's embedded systems face an increasing complexity both in the applications and in the platforms that support them. The use of complex platforms means that the engineers need to make non-trivial decisions during the design phase including optimized allocation, binding and scheduling. This situation creates a need for better ways to manage project complexity, and Model Driven Engineering is a possible solution. In this work, we propose an extension of a Model Driven Engineering methodology (i.e. HIPAO) to help manage complexity, which includes an automated Design Space Exploration phase that uses Genetic Algorithms to find the best hardware/software partitioning for a given application. We apply the HIPAO methodology to a case study of an autonomous industrial inspection system."
A Model-Driven Approach for Building Ubiquitous Applications,"Le Parc, Philippe;Touil, Amara;Vareille, Jean","Mobile Ubiquitous Computing, Systems, Services and Technologies, 2009. UBICOMM '09. Third International Conference on",2009,IEEE,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"3rd International Conference on Mobile Ubiquitous Computing, Systems, Services, and Technologies, UBICOMM 2009",2009-12-01,10.1109/UBICOMM.2009.11,2-s2.0-77951434298,Home automation systems | Industrial web | Model driven engineering | Remote robotics,"This paper presents an on-going work, which aims to build a generic framework for the conception and the development of ubiquitous applications. This work is based on a Model Driven Engineering approach and pays attention to possible failures and to the use of Virtual Reality to improve the Quality of the Experience for the user. © 2009 IEEE."
A model-driven approach for executing modular interaction protocols using BDI-agents,"León-Soto, Esteban",Lecture Notes in Business Information Processing,2012,Scopus,NN,NN,NN,NN,NN,0,NN,NN,NN,NN,NO,Exclude,,cp,Lecture Notes in Business Information Processing,2012-01-01,10.1007/978-3-642-28563-9_2,2-s2.0-84858204090,Business Process Modelling | Interaction Protocols | Interoperability | Modularity | Service Contracts,"To achieve interoperability between systems belonging to distributed organizations, a mechanism to rule how they interact with each other, without loosing their autonomy and keeping communication as flexible as possible, is necessary. In Multi-Agent Systems, interaction protocols were invented for this purpose. Simple UML-like diagrams have been used, focusing mostly in the specification of the sequence in which messages can be exchanged and who they can be sent to. Relevant details have been left out, making these models easy to understand for the reader, but at the same time less flexible, reusable, machine readable and hard to use for automatic development where more insights on the semantics of the model are necessary. We propose a declarative and more expressive model which makes use of well known contributions of the area of Multi-Agents. Adding more details inevitably increases complexity and to deal with it, we propose a model-driven tool. The tool is composed two parts, one is a graphical editor, which visualizes the semantics and effects of the definitions made by the designer, in real time and using planing algorithms. The other is an automatic code generator that produces Jadex BDI agents. Models created using our tool are more expressive, reusable, modular and can be used in automated development. © 2012 Springer-Verlag."
A model-driven approach for generating embedded robot navigation control software,"Shah, Bina;Dennison, Rachael;Gray, Jeff",Proceedings of the 42nd annual Southeast regional conference,2004,ACM,1,1,1,1,1,1,0,0,0,0,YES,Include,,cp,Proceedings of the Annual Southeast Conference,2004-12-01,10.1145/986537.986618,2-s2.0-77953085312,Generative programming | LEGO mindstorms | Model integrated computing,"Real-time embedded systems are time-critical systems that are hard to implement as compared to traditional commercial software, due to the large number of conflicting requirements. This paper describes undergraduate research into the use of advanced modeling techniques to improve the development of embedded systems. In particular, we have developed domain-specific models that describe the configuration and layout of a hazardous environment, which is symbolically represented as an area contaminated with hazardous materials (e.g., land mines), as well as objects to be rescued (e.g., babies). The motivation is to model a disaster site that is too dangerous for humans to search for survivors. From the visual model specifications, model interpreters will generate the embedded code that will control two LEGO Mindstorms robots. The mission of the robots is to traverse the hostile terrain and rescue the surviving babies. The modeling environment and generative techniques are described. Copyright 2004 ACM."
A model-driven approach for real-time road recognition,"Aufrère, Romuald;Chapuis, Roland;Chausse, Frédéric",Machine Vision and Applications,2001,WOS,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,ar,Machine Vision and Applications,2001-01-01,10.1007/PL00013275,2-s2.0-0035506897,Driving assistance | Lane recognition | Model-driven image analysis | On-board systems | Real-time computer vision,"This article describes a method designed to detect and track road edges starting from images provided by an on-board monocular monochromic camera. Its implementation on specific hardware is also presented in the framework of the VELAC project. The method is based on four modules: (1) detection of the road edges in the image by a model-driven algorithm, which uses a statistical model of the lane sides which manages the occlusions or imperfections of the road marking - this model is initialized by an off-line training step; (2) localization of the vehicle in the lane in which it is travelling; (3) tracking to define a new search space of road edges for the next image; and (4) management of the lane numbers to determine the lane in which the vehicle is travelling. The algorithm is implemented in order to validate the method in a real-time context. Results obtained on marked and unmarked road images show the robustness and precision of the method."
A model-driven approach for the analysis of multimedia documents,"Dos Santos J., Braga C., Muchaluat-Saade D.",CEUR Workshop Proceedings,2012,Scopus,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,,,,2-s2.0-84892637569,,"This paper proposes a model-driven approach for the analysis of multimedia documents. Structural and behavioral properties of a multimedia document are verified thus guaranteeing its well-formedness and conformance before deployment. Multimedia documents are interpreted as object model instances of a multimedia document metamodel. Structural properties are verified using consistency reasoning over an ontology representation of the given object model together with OCL invariant validation (i.e., the application of OCL invariants to the given object model). Behavioral properties are verified through model checking on the transition system associated to the given multimedia document. Both metamodel and user-defined behavioral properties are verified."
A Model-Driven approach for the development of an IDE for Spacecraft on-board software,"Pomante, Luigi;Candia, Sante;Incerto, Emilio",2015 IEEE Aerospace Conference,2015,IEEE,0,0,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,IEEE Aerospace Conference Proceedings,2015-06-05,10.1109/AERO.2015.7119032,2-s2.0-84940688914,,"© 2015 IEEE.This paper presents the application of a Model-Driven Engineering (MDE) approach to the aerospace domain. Specifically, it shows the Model-Driven Development (MDD) of an Integrated Development Environment (IDE) for a Domain-Specific Language (DSL) targeted to the achievement of the so called 'Spacecraft on-board software flexibility'. In fact, the goal of the presented work has been to deploy a full-featured IDE to be used for the development of the 'On-board Command Procedures' (OBCPs). The OBCPs coding is done by using the 'OBCP Definition Language' (ODL), specified by Thales Alenia Space Italy (TASI) on the basis of the requirements stated in the 'Space Engineering: Spacecraft On-board Control Procedures' ECSS standard (ECSS-E-ST-70-01, 16 April 2010). This standard does not impose specific language syntax but provides the guidelines for its specification. By following such guidelines and by exploiting some MDE technologies and tools, such as Eclipse Modeling Framework (EMF) and Xtext, it has been possible to realize an Eclipse-based IDE able to provide to the ODL developer the entire features essential in a modern environment for software development. The considered features include the 'traditional' ones as syntax-highlighting, code-completion, version-control, on-line error-checking, and also 'advanced' ones like syntactic validation, semantic validation, and integrated code compilation. Moreover, by means of the adopted MDE approach, a very large part of the IDE code has been automatically generated starting from the Extended Backus-Naur Form (EBNF) specification of the ODL grammar so allowing for the IDE developers to be more focused on validation issues and on the quality of product than on the coding activity. All this has been obtained by following the paradigm 'coding equals modeling', for which each program represents a behavioral model compliant to the meta-model specified by the grammar of the language itself. The obtained result is a professional product that satisfies all the expected requirements, but this would be just a starting point since the ultimate goal of this work is to contribute to fostering the adoption of MDE approaches in the spacecraft software domain."
A model-driven approach for the development of safety-critical functions using modified architecture description language (ADL),"Sari, Bülent;Reuss, Hans Christian","2016 International Conference on Electrical Systems for Aircraft, Railway, Ship Propulsion and Road Vehicles & International Transportation Electrification Conference (ESARS-ITEC)",2016,IEEE,0,0,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"2016 International Conference on Electrical Systems for Aircraft, Railway, Ship Propulsion and Road Vehicles and International Transportation Electrification Conference, ESARS-ITEC 2016",2016-01-01,10.1109/ESARS-ITEC.2016.7841346,2-s2.0-85015451416,architecture description language(ADL) | EASTADL | ISO 26262 | model-driven approach | safety,"© 2016 IEEE.Safety is becoming more and more important with the ever increasing level of safety related E/E Systems built into the cars. Increasing functionality of vehicle systems through electrification of power train and autonomous driving leads to complexity in designing system, software and safety architecture. ISO 26262 aims to reduce the complexity and to approve the traceability of the different safety activities. An approach, how the engineers deal with these challenges in an efficient and effective way, offers model-driven system, software and safety development. This makes it possible to describe, analyze and verify the system, software and safety architecture with models in order to detect the design and systematic errors before implementation. This paper presents an approach about model-based development of system, software and safety. In particular, we briefly discuss how the main activities from ISO 26262 such as hazard analysis and risk assessment, functional safety concept, technical safety concept, safety analysis, etc. can be developed model-driven and how it can be merged with system and software development. The state-of-art is also provided and compared with the proposed approach."
A Model-driven approach to design and verify autonomic network behaviors,"Prakash, Arun;Chaparadza, Ranganai;Starschenko, Alexej","GLOBECOM Workshops (GC Wkshps), 2011 IEEE",2011,IEEE,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"2011 IEEE GLOBECOM Workshops, GC Wkshps 2011",2011-12-01,10.1109/GLOCOMW.2011.6162544,2-s2.0-84858413797,Auto-Configuration | Autonomic Behavior Design | GANA | Model-Driven Methodology | ModelBus,"The domain of autonomic networking comes with its own set of architectural challenges and requirements that necessitates the knowledge of other domains like protocol design, system engineering and modern control theory for the design of autonomic behaviors. Thus, there is a need for an unified framework and methodology for designing the autonomic entities of such networks. A Model-driven framework or approach appears as a viable option, as it integrates and masks the differences between the domains through meta-models and model-to-model transformation services. In this paper, we focus on the instantiation of one such methodology and associated tool-chain for the design of the Auto-Configuration behavior in a network. We showcase how the application of the methodology helps in detecting and resolving conflicting and entangled control-loops during the design phase of autonomic behaviors. © 2011 IEEE."
A model-driven approach to dynamic and adaptive service brokering using modes,"Foster, Howard;Mukhija, Arun;Rosenblum, David S.;Uchitel, Sebastian",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2008,Scopus,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2008-01-01,10.1007/978-3-540-89652-4_46,2-s2.0-58049127019,,Industry and academia are exploring ways to exploit the services paradigm to assist in the challenges of software self-management. In this paper we present a novel approach which aims to bring these two fields closer by specifying the requirements and capabilities within a UML2 model architecture style and illustrating how these model elements are used to generate specifications for dynamic runtime service brokering given different modes of a software system. The approach is implemented in a tool suite integrated into the Eclipse IDE with a prototype runtime service broker engine. © 2008 Springer Berlin Heidelberg.
A Model-Driven Approach to Enable Adaptive QoS in DDS-Based Middleware,"Inglés-Romero, Juan F.;Romero-Garcés, Adrián;Vicente-Chicote, Cristina;Martínez, Jesús",IEEE Transactions on Emerging Topics in Computational Intelligence,2017,IEEE,0,0,NN,NN,NN,NN,NN,NN,1,NN,NO,Exclude,,ar,IEEE Transactions on Emerging Topics in Computational Intelligence,2017-06-01,10.1109/TETCI.2017.2669187,2-s2.0-85049614725,DDS | model-driven engineering | QoS | software adaptation,"© 2017 IEEE.Critical and distributed systems need to be reliable and comply with the required performance at run-time. In this vein, data distribution service for real-time systems (DDS) provides developers with highly configurable middleware to control the end-to-end quality of service (QoS) of the applications through a wide range of attributes. However, dynamic and unpredictable environment pose a major challenge to these systems as their workload and resources may fluctuate significantly in time depending on the execution context. Developers usually find it difficult to choose and apply the right DDS QoS attributes, as once selected, they remain fixed during the whole execution of the system. They do not automatically change according to the execution context, e.g., to meet nonfunctional requirements related to performance or resource consumption. Moreover, changing the QoS attributes at run-time may lead to incompatibilities, since the configuration used by the different participants needs to be mutually consistent. In this paper, we propose a model-driven approach that enables the safe, automatic, and transparent adaptation of the QoS attributes in DDS-based middleware, providing the best performance possible within the available resources at run-time. An example in robotics is presented to demonstrate the feasibility and the benefits of our proposal."
A Model-Driven Approach to Enable Adaptive QoS in DDS-Based Middleware,"Inglés-Romero, Juan F.;Romero-Garcés, Adrián;Vicente-Chicote, Cristina;Martínez, Jesús",IEEE Transactions on Emerging Topics in Computational Intelligence,2017,IEEE,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,ar,IEEE Transactions on Emerging Topics in Computational Intelligence,2017-06-01,10.1109/TETCI.2017.2669187,2-s2.0-85049614725,DDS | model-driven engineering | QoS | software adaptation,"© 2017 IEEE.Critical and distributed systems need to be reliable and comply with the required performance at run-time. In this vein, data distribution service for real-time systems (DDS) provides developers with highly configurable middleware to control the end-to-end quality of service (QoS) of the applications through a wide range of attributes. However, dynamic and unpredictable environment pose a major challenge to these systems as their workload and resources may fluctuate significantly in time depending on the execution context. Developers usually find it difficult to choose and apply the right DDS QoS attributes, as once selected, they remain fixed during the whole execution of the system. They do not automatically change according to the execution context, e.g., to meet nonfunctional requirements related to performance or resource consumption. Moreover, changing the QoS attributes at run-time may lead to incompatibilities, since the configuration used by the different participants needs to be mutually consistent. In this paper, we propose a model-driven approach that enables the safe, automatic, and transparent adaptation of the QoS attributes in DDS-based middleware, providing the best performance possible within the available resources at run-time. An example in robotics is presented to demonstrate the feasibility and the benefits of our proposal."
A model-driven approach to multidisciplinary collaborative simulation for virtual product development,"Zhang, Heming;Wang, Hongwei;Chen, David;Zacharewicz, Gregory",Advanced Engineering Informatics,2010,WOS,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,ar,Advanced Engineering Informatics,2010-04-01,10.1016/j.aei.2009.07.005,2-s2.0-77949488607,,"The design and development of complex artifacts and systems is shifting towards a distributed and collaborative paradigm. The simulation environments for such a paradigm, therefore, need to take into account the cooperation between design teams, i.e. supporting multidisciplinary simulation in a distributed environment. However, current simulation tools can not fulfil this requirement as they have been developed to solve the specific problems from different disciplines. Although it's already possible to perform multidisciplinary simulations by using several tools together, it is very difficult to implement it when these tools are distributed on the Internet. A solution which can support the integration of distributed simulation models at run-time is presented, involving a computational infrastructure and a high-level modelling approach. Specifically, the infrastructure is constructed by a novel combination of two distributed computing techniques to implement the synchronization of distributed models, as well as to ensure the interoperability at run-time. In addition, a model-driven approach is developed to bridge the high-level model of a simulation system and the infrastructure which implements this model. The solution is evaluated by making a comparison with other approaches, as well as by developing a prototype tool. It's shown in the evaluation that (1) it is viable to develop multidisciplinary simulations in a distributed environment using this solution; (2) the model-driven approach allows designers to focus only on the high-level structure of a design without getting concerned with the details of the infrastructure. © 2009 Elsevier Ltd. All rights reserved."
A model-driven approach to support engineering changes in industrial robotics software,"Sun, Yu;Gray, Jeff;Bulheller, Karlheinz;Von Baillou, Nicolaus",Proceedings of the 15th international conference on Model Driven Engineering Languages and Systems,2012,ACM,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2012-10-24,10.1007/978-3-642-33666-9_24,2-s2.0-84867649009,Digital Factory | Digital Master | Domain-Specific Modeling | Robotics | Software Maintenance,"Software development has improved greatly over the past decades with the introduction of new programming languages and tools. However, software development in the context of industrial robotics is dominated by practices that require attention to low-level accidental complexities related to the solution space of a particular domain. Most vendor-specific robotics platforms force the developer to be concerned with many low-level implementation details, which presents a maintenance challenge in the context of making engineering changes to the robotics solution. Additionally, satisfying the timing requirements across the platforms of multiple robot vendors represents an additional challenge. We introduce our work using Domain-Specific Modeling to support the control of industrial robots using models that are at a higher level of abstraction than traditional robot programming languages. Our modeling approach assists robotics developers to plan the schedule, validate timing requirements, optimize robot control, handle engineering changes, and support multiple platforms. © 2012 Springer-Verlag."
